Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
femininity,Femininity,<p>Femininity: Woman Posing For Camera And Artist. This creative portrait has extremely soft focus. </p>,Getty Images,Open Edition Prints,,TRUE,size,C - 400 x 500,materials,Matt Photographic Paper,Frame,None,GI-914375016-C-M-N,1500,shopify,0,continue,manual,86,0,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2439/0231/products/Femininity-thumb.jpg?v=1540707495,1,,FALSE,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,C - 400 x 500,,Matt Photographic Paper,,White,GI-914375016-C-M-W,4600,shopify,0,continue,manual,351,0,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2439/0231/products/Femininity.jpg?v=1540347391,2,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,C - 400 x 500,,Matt Photographic Paper,,Black,GI-914375016-C-M-B,4600,shopify,0,continue,manual,351,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,C - 400 x 500,,Matt Photographic Paper,,Scandi,GI-914375016-C-M-S,4600,shopify,0,continue,manual,351,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,C - 400 x 500,,Canvas,,None,GI-914375016-C-C-N,1500,shopify,0,continue,manual,86,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,C - 400 x 500,,Canvas,,White,GI-914375016-C-C-W,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,C - 400 x 500,,Canvas,,Black,GI-914375016-C-C-B,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,C - 400 x 500,,Canvas,,Scandi,GI-914375016-C-C-S,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,D - 500 x 600,,Matt Photographic Paper,,None,GI-914375016-D-M-N,1500,shopify,0,continue,manual,116,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
femininity,,,,,,,,D - 500 x 600,,Matt Photographic Paper,,White,GI-914375016-D-M-W,4600,shopify,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
