Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
serenity-3,Serenity,,FINEPRINT co,Open Edition Prints,"400-750, 750-1500, fineprint-co, OE2, under-400, under-750, Wategos",TRUE,size,C - 400 x 400,materials,Matt Photographic Paper,Frame,None,OE2-009-003-C-M-N,1500,,0,continue,manual,53,0,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2439/0231/products/OE2-009-003_Serenity.jpg?v=1537585325,1,Serenity by FINEPRINT co - FINEPRINT co,FALSE,Serenity | FINEPRINT co,Serenity by FINEPRINT co | FINEPRINT co,,,,,,,,,,,,,,,kg,,
serenity-3,,,,,,,,C - 400 x 400,,Matt Photographic Paper,,White,OE2-009-003-C-M-W,4600,,0,continue,manual,214,0,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2439/0231/products/oe2-009-003.jpg?v=1537585325,2,Serenity by FINEPRINT co - FINEPRINT co,,,,,,,,,,,,,,,,,,kg,,
serenity-3,,,,,,,,C - 400 x 400,,Matt Photographic Paper,,Black,OE2-009-003-C-M-B,4600,,0,continue,manual,214,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
serenity-3,,,,,,,,C - 400 x 400,,Matt Photographic Paper,,Scandi,OE2-009-003-C-M-S,4600,,0,continue,manual,214,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
serenity-3,,,,,,,,C - 400 x 400,,Canvas,,None,OE2-009-003-C-C-N,1500,,0,continue,manual,53,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
serenity-3,,,,,,,,C - 400 x 400,,Canvas,,White,OE2-009-003-C-C-W,4600,,0,continue,manual,282,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
serenity-3,,,,,,,,C - 400 x 400,,Canvas,,Black,OE2-009-003-C-C-B,4600,,0,continue,manual,282,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
serenity-3,,,,,,,,C - 400 x 400,,Canvas,,Scandi,OE2-009-003-C-C-S,4600,,0,continue,manual,282,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
serenity-3,,,,,,,,D - 500 x 500,,Matt Photographic Paper,,None,OE2-009-003-D-M-N,1500,,0,continue,manual,71,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
serenity-3,,,,,,,,D - 500 x 500,,Matt Photographic Paper,,White,OE2-009-003-D-M-W,4600,,0,continue,manual,282,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
