Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
yacht-holiday-2,Yacht Holiday,,Slim Aarons,Slim Aarons,,FALSE,size,F - 762 x 1016,materials,Photographic Paper,Frame,None,53403623-F-P-N,1500,shopify,2,continue,manual,936,0,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2439/0231/products/53403623.jpg?v=1542672126,1,,FALSE,,,,,,,,,,,,,,,,,kg,,
yacht-holiday-2,,,,,,,,G - 1016 x 1525,,Photographic Paper,,None,53403623-G-P-N,1500,shopify,1,continue,manual,1170,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
yacht-holiday-2,,,,,,,,G - 1016 x 1525,,Photographic Paper,,White,53403623-G-P-W,10000,shopify,0,continue,manual,2124,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
yacht-holiday-2,,,,,,,,D - 508 x 610,,Photographic Paper,,None,53403623-D-P-N,1500,shopify,0,continue,manual,429,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
yacht-holiday-2,,,,,,,,D - 508 x 610,,Photographic Paper,,White,53403623-D-P-W,4600,shopify,0,continue,manual,872,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
yacht-holiday-2,,,,,,,,F - 762 x 1016,,Photographic Paper,,White,53403623-F-P-W,4600,shopify,0,continue,manual,1584,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
yacht-holiday-2,,,,,,,,E - 508 x 762,,Photographic Paper,,None,53403623-E-P-N,1500,shopify,0,continue,manual,548,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
yacht-holiday-2,,,,,,,,E - 508 x 762,,Canvas,,None,53403623-E-C-N,1500,shopify,0,continue,manual,879,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
yacht-holiday-2,,,,,,,,F - 762 x 1016,,Canvas,,None,53403623-F-C-N,1500,shopify,0,continue,manual,1268,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
yacht-holiday-2,,,,,,,,G-1016x1525,,Canvas,,Stretched,53403623-G-C-S,4600,shopify,0,continue,manual,1980,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
